股票名称（股票ID）| 开盘涨幅 | 当前涨幅 | 当前价格 | 成交量（万手）| 成交金额（亿）
民丰特纸(sh600235) | 9.94% | 9.94% | 5.640 | 15.3 | 0.86
阳光电源(sz300274) | 0.0% | -1.98% | 7.420 | 97.86 | 7.36
苏州高新(sh600736) | -4.01% | -6.51% | 5.600 | 30.3 | 1.71
华闻传媒(sz000793) | 0.3% | -3.35% | 3.170 | 178.55 | 5.91
新疆浩源(sz002700) | -4.1% | 1.34% | 13.610 | 55.37 | 7.38
恒立实业(sz000622) | 6.09% | 10.03% | 6.690 | 38.81 | 2.56
九有股份(sh600462) | 10.09% | 10.09% | 3.710 | 38.28 | 1.42
宏达矿业(sh600532) | 3.03% | 9.98% | 6.170 | 87.21 | 5.21
上海凤凰(sh600679) | -0.94% | -6.42% | 11.960 | 7.25 | 0.89
贤丰控股(sz002141) | 6.3% | 10.03% | 3.840 | 47.47 | 1.81
融捷股份(sz002192) | 9.98% | 9.98% | 17.970 | 4.72 | 0.85
天华超净(sz300390) | -1.08% | -3.34% | 8.970 | 31.25 | 2.94
群兴玩具(sz002575) | 9.98% | 9.98% | 5.730 | 11.64 | 0.67
麦达数字(sz002137) | 8.94% | -3.53% | 7.660 | 56.22 | 4.68
华西股份(sz000936) | 1.75% | -4.04% | 5.470 | 51.2 | 2.89
海源复材(sz002529) | 0.0% | -3.45% | 7.840 | 7.72 | 0.61
上海三毛(sh600689) | 9.89% | 10.0% | 10.450 | 32.26 | 3.35
瑞泰科技(sz002066) | -0.13% | -3.43% | 7.600 | 11.46 | 0.87
亚夏汽车(sz002607) | 7.9% | -3.04% | 9.570 | 147.6 | 14.44
华仪电气(sh600290) | 10.04% | 10.04% | 5.040 | 92.02 | 4.56
斯太尔(sz000760) | -5.09% | -5.79% | 4.070 | 83.75 | 3.47
鲁银投资(sh600784) | -2.38% | -5.31% | 5.170 | 20.99 | 1.1
弘业股份(sh600128) | 10.07% | 10.07% | 8.090 | 2.52 | 0.2
华金资本(sz000532) | 10.04% | 10.04% | 11.290 | 3.36 | 0.38
东湖高新(sh600133) | 7.39% | 3.95% | 6.050 | 88.07 | 5.44
南京高科(sh600064) | 0.12% | -4.65% | 7.790 | 60.58 | 4.81
美格智能(sz002881) | 0.23% | 0.9% | 17.870 | 16.15 | 2.91
德美化工(sz002054) | 9.77% | 9.95% | 6.190 | 78.06 | 4.78
龙头股份(sh600630) | 0.51% | -4.46% | 7.490 | 36.75 | 2.81
创业黑马(sz300688) | 10.01% | 10.01% | 52.000 | 11.4 | 5.89
新日恒力(sh600165) | 1.75% | -3.71% | 4.410 | 126.83 | 5.96
汇鸿集团(sh600981) | 0.41% | -4.94% | 4.620 | 16.33 | 0.77
中 关 村(sz000931) | 0.0% | -4.97% | 6.890 | 45.66 | 3.16
钱江生化(sh600796) | 10.02% | 2.62% | 6.660 | 60.1 | 4.21
熊猫金控(sh600599) | -2.89% | -5.54% | 11.430 | 3.91 | 0.46
茂硕电源(sz002660) | -1.15% | -4.61% | 5.790 | 22.35 | 1.29
广东甘化(sz000576) | 4.55% | -3.98% | 6.750 | 74.79 | 5.38
合肥城建(sz002208) | 0.82% | 0.0% | 10.910 | 32.62 | 3.62
电广传媒(sz000917) | 0.95% | -6.67% | 4.900 | 74.55 | 3.83
共达电声(sz002655) | 2.36% | -1.26% | 6.270 | 17.76 | 1.15
新华制药(sz000756) | 1.98% | 0.3% | 6.590 | 19.49 | 1.32
